,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,Versuchsplanung,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
2,,Ursprungs-zeilen,Nr.,Versuch,Art d. Versuchs,Bezeichnung,Kamera,Objektiv,Licht-Farbe,Bilder pro Messung,Anz. Messungen,Komponente,Strahlführung,Target-Position,Anmerkung
3,,0,"- Schauen, ob die Kameras gleich auf der Grundplatte ausgerichtet sind (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Die Objektive so ausrichten, dass Koax.-Licht nach oben zeigt
         - Für beide Kameras checken, da Gewinde nicht zwingend gleich ist!
- Die Komponenten auf den Haltern ausrichten
         - Sollten mittels Anschlag gut positioniert werden
         - Wahrscheinlich ist Positionierung bei 90°-Aufbau am sinnvollsten
         - Bei guter Ausrichtung, kann später alles ohne justieren durchgefühert werden (weniger Ausrichteaufwand/Fehlerpotenzial später --> td später überprüfen und ggf. jsutieren!)
- Zwischen jeder Messung (alle Versuche) die Achse einmal weg- und wieder hinbewegen (z.B. 50mm) --> kein Autofokus machen
- Darauf achten, dass die Lichter alle immer gleich eingebaut werden (grade und mittig)",,,,,,,,,,,,Vorbereitungen
43,,70,53,V045-2,Gerade M Wdh. 2,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Mittig,
44,,71,,,,,,,,,,,,,
45,,72,,,,,,,,,,,,,
46,,73,54,V046,Gerade OL,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Oben Links,
47,,74,55,V047,Gerade OL,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Oben Links,
48,,75,56,V048,Gerade OL,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Oben Links,
49,,76,57,V049,Gerade OL,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Oben Links,
50,,77,,,,,,,,,,,,,
51,,78,58,V046-1,Gerade OL Wdh. 1,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Oben Links,
52,,79,59,V047-1,Gerade OL Wdh. 1,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Oben Links,
53,,80,60,V048-1,Gerade OL Wdh. 1,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Oben Links,
54,,81,61,V049-1,Gerade OL Wdh. 1,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Oben Links,
55,,82,,,,,,,,,,,,,
56,,83,62,V046-2,Gerade OL Wdh. 2,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Oben Links,
57,,84,63,V047-2,Gerade OL Wdh. 2,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Oben Links,
58,,85,64,V048-2,Gerade OL Wdh. 2,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Oben Links,
59,,86,65,V049-2,Gerade OL Wdh. 2,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Oben Links,
60,,87,,,,,,,,,,,,,
61,,88,,,,,,,,,,,,,
62,,89,66,V050,Gerade OR,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Oben Rechts,
63,,90,67,V051,Gerade OR,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Oben Rechts,
64,,91,68,V052,Gerade OR,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Oben Rechts,
65,,92,69,V053,Gerade OR,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Oben Rechts,
66,,93,,,,,,,,,,,,,
67,,94,70,V050-1,Gerade OR Wdh. 1,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Oben Rechts,
68,,95,71,V051-1,Gerade OR Wdh. 1,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Oben Rechts,
69,,96,72,V052-1,Gerade OR Wdh. 1,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Oben Rechts,
70,,97,73,V053-1,Gerade OR Wdh. 1,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Oben Rechts,
71,,98,,,,,,,,,,,,,
72,,99,74,V050-2,Gerade OR Wdh. 2,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Oben Rechts,
73,,100,75,V051-2,Gerade OR Wdh. 2,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Oben Rechts,
74,,101,76,V052-2,Gerade OR Wdh. 2,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Oben Rechts,
75,,102,77,V053-2,Gerade OR Wdh. 2,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Oben Rechts,
76,,103,,,,,,,,,,,,,
77,,104,,,,,,,,,,,,,
78,,105,78,V054,Gerade UR,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Unten Rechts,
79,,106,79,V055,Gerade UR,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Unten Rechts,
80,,107,80,V056,Gerade UR,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Unten Rechts,
81,,108,81,V057,Gerade UR,LC-Shutter,U3-3800CP-M-GL,,?,10,50,LC-Shutter,0°,Unten Rechts,
82,,109,,,,,,,,,,,,,
83,,110,82,V054,Gerade UR Wdh. 1,Groundtruth,U3-3800CP-M-GL,?,?,10,50,/,0°,Unten Rechts,
84,,111,83,V055,Gerade UR Wdh. 1,Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler BS016,0°,Unten Rechts,
85,,112,84,V056,Gerade UR Wdh. 1,Pol. Strahlteiler,U3-3800CP-M-GL,,?,10,50,Strahlteiler PBS210,0°,Unten Rechts,
